Category	URL	Description
General	https://t.me/careerspace	Career Space
General	https://t.me/antirabstvoru	Вакансии и трудоустройство
General	https://t.me/+8GccgGZZBIg4ZTNi	Вакансии одной строкой
General	https://t.me/yojob	Dream Job
General	https://t.me/naudalenkebro	Удаленка 2.0 | Finder.work
General	https://t.me/vacanciesbest	Лучшие вакансии
General	https://t.me/jobs_finlegal	Лучшие вакансии
General	https://t.me/Well_paid_Job	Вакансии с зп выше 50 тысяч
General	https://t.me/hh_vacancy_udalenka	Удаленная работа от hh.ru
General	https://t.me/newdirections	New directions: стажировки
General	https://t.me/horseatinternship	КОНЬ НА СТАЖИРОВКЕ
General	https://t.me/promorabota	Подработка в Москве
General	https://t.me/vakanser_freelancer	Вакансер — Фриланс
General	https://t.me/work_for_everyone	Работа для всех
General	https://t.me/workvc	джоб оффер | Подработка
General	https://t.me/+j569zhkyTENiODYy	Редактируем зп
General	https://t.me/+OivGz5eT2CdjMGVi	VFрилансе - Всё про Фриланс
General	https://t.me/+eLUN1eND56kxOGUy	На фрилансе: Работа | Вакансии
General	http://t.me/freelancebay	Бухта Фриланса
General	https://t.me/vakansiilive	Вакансии Live
General	https://t.me/workzavr	Воркзавр Фриланс
General	https://t.me/+TluPyn-CpHgxNmQy	Патрик пашет Фриланс
General	https://t.me/+QzaWua0Wrl6NpIZ8	ФРИЛАНС. Вакансии
General	https://t.me/+fMoo20LG_FhkNzcy	ParserWork - работа для фрилансеров
General	https://t.me/Work_for_everyone_bot	Cборник свежих и актуальных вакансий
General	https://t.me/Vakanser_bot	Vakanser
General	https://t.me/myresume_ru	Вакансии и Стажировки
General	https://t.me/frilancekomfort	Работа в комфорте
General	https://t.me/jobmar	Home Work
General	https://t.me/the_pomogator	ПОМОГАТОР | ФРИЛАНС | ВАКАНСИИ
General	https://t.me/workk_on	WORK ON
General	https://t.me/Koteyka_Freelancer	Фриланс Котики | Вакансии
General	https://t.me/proffreelancee	НАСТОЯЩИЙ ФРИЛАНС
General	https://t.me/talentedpeoples	Работа талантам
General	https://t.me/theyseeku	Finder.work: работа и вакансии
General	https://t.me/refni_ru	Рефни
General	https://t.me/GetClient	GetClient | Фриланс вакансии
General	https://t.me/novichog	НОВИЧОК: удалённая работа
General	https://t.me/vacansi_msk	Вакансии | Москва и МО
General	https://t.me/workoo	Ворку | Подработка удаленно
General	https://t.me/rabotavsochi_t	Работа в Сочи
General	https://t.me/sellyourhead	SELL YOUR HEAD
General	https://t.me/workfortop	Work For TOP
General	https://t.me/chat_job	Москва / Срочные вакансии
General	https://t.me/forchiefs	Job for Chiefs (TOP vacancies)
